Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status
014,Health,"VF:0803 Health Research 2.21 2.21 2.21 100.0% 100.0% 100.0%
Class:Outputs Provided 1.97 1.97 1.97 100.0% 100.0% 100.0%
080301 Monitoring of Diseases,performance of their interventions and 1.26 1.26 1.26 100.0% 100.0% 100.0%
investigate outbreaks
080302 Chemotherapeutic Research (Chemo. Lab) 0.33 0.33 0.33 100.0% 100.0% 100.0%
080303 Research coordination 0.38 0.38 0.38 100.0% 100.0% 100.0%
Class:Outputs Funded 0.24 0.24 0.24 100.0% 100.0% 100.0%
080351 Specialised Medical Research in HIV/AIDS and Clinical Care 0.24 0.24 0.24 100.0% 100.0% 100.0%
(JCRC)",2022/23,2.21,,,,,
014,Health,"VF:0849 Policy, Planning and Support Services
Class:Outputs Provided
084901 Policy, consultation, planning and monitoring services
084902 Ministry Support Services
084903 Ministerial and Top Management Services
Class:Outputs Funded
084951 Transfers to International Health Organisation
084952 Health Regulatory Councils",2022/23,9.51,,,,,
010,Agriculture,"221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
225002 Consultancy Services- Long-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
273102 Incapacity, death benefits and and funeral expenses
282103 Scholarships and related costs
Output Class: Outputs Funded
262101 Contributions to International Organisations (Curre
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
281503 Engineering and Design Studies and Plans for Capi
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,0.1,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
213001 Medical Expenses(To Employees)
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and Related Charges
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
223004 Guard and Security services
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
Output Class: Capital Purchases
312101 Non-Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles",2022/23,0.78,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
221003 Staff Training
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
224001 Medical and Agricultural supplies
Output Class: Capital Purchases
312101 Non-Residential Buildings
312103 Roads and Bridges
312202 Machinery and Equipment
312203 Furniture and Fixtures",2022/23,0.06,,,,,
014,Health,"VF:0859 Pharmaceutical and Medical Supplies
Class:Outputs Provided
085901 Health Supplies to LG Units, General & Regional Hospitals
085902 Health Supplies to National Referral Hospitals
Class:Capital Purchases
085975 Purchase of Motor Vehicles and Other Transport Equipment",2022/23,75.71,,,,,
010,Agriculture,"Output Class: Outputs Provided
224001 Medical and Agricultural supplies
Output Class: Capital Purchases
312204 Taxes on Machinery, Furniture & Vehicles",2022/23,75.71,,,,,
014,Health,VF:0852 Human Resource Management for Health,2022/23,2.56,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
222001 Telecommunications
223003 Rent - Produced Assets to private entities
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,1.86,,,,,
014,Health,VF:0855 Provision of Specialised Mental Health Services,2022/23,12.71,,,,,
014,Health,"VF:0855 Provision of Specialised Mental Health Services
Class:Outputs Provided
085501 Administration and Management
085502 Mental Health inpatient Services Provided
085503 Long Term Planning for Mental Health
085504 Specialised Outpatient and PHC Services Provided
085505 Community Mental Health Services and Technical Supervision
Class:Capital Purchases
085572 Government Buildings and Administrative Infrastructure
085577 Purchase of Specialised Machinery & Equipment
085578 Purchase of Office and Residential Furniture and Fittings",2022/23,12.71,,,,,
010,Agriculture,"221003 Staff Training
221006 Commissions and Related Charges
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent Costs
222001 Telecommunications
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
Output Class: Capital Purchases
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312102 Residential Buildings
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,0.19,,,,,
014,Health,"VF:0856 Regional Referral Hospital Services
Class:Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
Class:Capital Purchases
085672 Government Buildings and Administrative Infrastructure
085673 Roads, Streets and Highways
085675 Purchase of Motor Vehicles and Other Transport Equipment
085676 Purchase of Office and ICT Equipment, including Software
085677 Purchase of Specialised Machinery & Equipment
085678 Purchase of Office and Residential Furniture and Fittings
085699 Arrears",2022/23,46.51,,,,,
010,Agriculture,"223001 Property Expenses
223002 Rates
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
225001 Consultancy Services- Short-term
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
281401 Rental non produced assets
Output Class: Capital Purchases
281503 Engineering and Design Studies and Plans for Capi
281504 Monitoring, Supervision and Appraisal of Capital
312101 Non-Residential Buildings
312102 Residential Buildings
312103 Roads and Bridges
312104 Other Structures
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
Output Class: Arrears
321612 Water Arrears
321614 Electricity Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,0.14,,,,,
014,Health,VF:0881 Primary Healthcare,2022/23,192.9,,,,,
014,Health,"VF:0881 Primary Healthcare
Class:Outputs Provided
088100 Primary Health Care",2022/23,192.9,,,,,
010,Agriculture,"223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
225002 Consultancy Services- Long-term
226001 Insurances
226002 Licenses
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
229200 Sale of goods purchased for resale
282101 Donations
Output Class: Outputs Funded
262101 Contributions to International Organisations (Curre
Output Class: Capital Purchases
311101 Land
312101 Non-Residential Buildings
312102 Residential Buildings
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Arrears
321605 Domestic arrears
321612 Water Arrears
321613 Telephone Arrears
321614 Electricity Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,11.67,,,,,
013,Education,"VF:1258 Recruitment, Discipline, Research &Civic Education",2022/23,1.62,,,,,
013,Education,"VF:1258 Recruitment, Discipline, Research &Civic Education
Class:Outputs Provided
125801 Recruitment of Judicial Officers
125802 Public Complaints System
125803 Public awareness and participation in justice administration
125805 Administrative and human resource support
125806 Research and planning for administration of justice
Class:Capital Purchases",2022/23,1.62,,,,,
010,Agriculture,"221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223001 Property Expenses
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
225001 Consultancy Services- Short-term
225002 Consultancy Services- Long-term
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
282091 Tax Account
282101 Donations
282104 Compensation to 3rd Parties
321440 Other Grants
Output Class: Outputs Funded
263104 Transfers to other gov't units(current)
263105 Treasury transfers to Agencies(current)
263321 Conditional trans. to Autonomo
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
312101 Non-Residential Buildings
312103 Roads and Bridges
312201 Transport Equipment
312202 Machinery and Equipment
312203 Furniture and Fixtures
312204 Taxes on Machinery, Furniture & Vehicles
Output Class: Arrears
321612 Water Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",2022/23,0.09,,,,,
010,Agriculture,"VF:1402 Budget Preparation, Execution and Monitoring 11.18 10.38 10.23 92.8% 91.5% 98.6%
Class:Outputs Provided 7.31 6.76 6.72 92.5% 92.0% 99.4%
140201 Policy, Coordination and Monitoring of the National Budget 1.90 1.69 1.63 89.2% 86.0% 96.4%
Cycle
140202 Policy, Coordination and Monitoring of the Local Government 2.53 2.43 2.40 95.8% 94.7% 98.9%
Budget Cycle
140204 Coordination and Monitoring of Sectoral Plans, Budgets and 2.87 2.64 2.69 91.9% 93.5% 101.8%
Budget Implementation
Class:Outputs Funded 3.43 3.43 3.42 100.0% 99.9% 99.9%
140251 Operational Support for Agricultural Extension Workers 3.43 3.43 3.42 100.0% 99.9% 99.9%
Class:Capital Purchases 0.45 0.20 0.09 43.3% 20.0% 46.1%
140276 Purchase of Office and ICT Equipment, including Software 0.10 0.10 0.07 100.0% 72.6% 72.6%
140277 Purchase of Specialised Machinery & Equipment 0.25 0.00 0.00 0.0% 0.0% N/A
140278 Purchase of Office and Residential Furniture and Fittings 0.10 0.10 0.02 95.0% 17.4% 18.3%
140299 Arrears 0.00 0.00 0.00 N/A N/A N/A",2022/23,11.18,,,,,
013,Education,"VF:1452 Governance and Accountability
Class:Outputs Provided
145201 Formulation and monitoring of Policies, laws and strategies
145202 Public education and awareness
145203 Coordination of Accountability Sector
145205 DEI Support Services
Class:Capital Purchases
145275 Purchase of Motor Vehicles and Other Transport Equipment
145277 Purchase of Specialised Machinery & Equipment",2022/23,3.15,,,,,
013,Education,"VF:1454 Revenue Collection & Administration
Class:Outputs Provided
145401 Customs Tax Collection
145402 Domestic Tax Collection
145403 Tax Investigations
145404 Internal Audit and Compliance
145405 URA Legal and Administrative Support Services
145406 Public Awareness and Tax Education/Modernization
Class:Capital Purchases
145476 Purchase of Office and ICT Equipment, including Software
145477 Purchase of Specialised Machinery & Equipment",2022/23,105.45,,,,,
010,Agriculture,"VF:1455 Statistical production and Services
Class:Outputs Provided
145501 Economic statistical indicators
145502 Population and Social Statistics indicators
145503 Industrial and Agricultural indicators
145504 District Statistics and Capacity Building
145505 National statistical system database maintained
145506 Statistical Coordination and Administrative Support Services
Class:Capital Purchases
145575 Purchase of Motor Vehicles and Other Transport Equipment
145576 Purchase of Office and ICT Equipment, including Software
145577 Purchase of Specialised Machinery & Equipment
145578 Purchase of Office and Residential Furniture and Fittings",2022/23,20.78,,,,,
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
213001 Medical Expenses(To Employees)
213002 Incapacity, death benefits and funeral expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223003 Rent - Produced Assets to private entities
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
226001 Insurances
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
282101 Donations",2022/23,58.87,,,,,
013,Education,"VF:1621 Regional and International Co-operation
Class:Outputs Provided
162101 Cooperation frameworks
162102 Promotion of trade, tourism, education, and investment
162103 Peace and Security
162104 Special Summits and Conferences",2022/23,5.22,,,,,
013,Education,"VF:1651 Management of Elections
Class:Outputs Provided
165101 Voter Education and Training
165102 Financial and Administrative Support Services
165103 Voter Registeration and Conduct of General elections
165105 Conduct of By-elections
Class:Capital Purchases
165172 Government Buildings and Administrative Infrastructure
165175 Purchase of Motor Vehicles and Other Transport Equipment
165177 Purchase of Specialised Machinery & Equipment",2022/23,47.45,,,,,
